Comment,Designator,Footprint,LCSC
1k,"R6,R7",R_0402_1005Metric,C11702
100n,"C10,C11,C12,C15,C16,C7,C8,C9",C_0402_1005Metric,C1525
22p,"C3,C4",C_0402_1005Metric,C1555
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10u,C5,C_0603_1608Metric,C19702
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
27,"R8,R9",R_0402_1005Metric,C25190
5.1k,"R1,R2,R3,R4,R5",R_0402_1005Metric,C25905
1u,"C1,C13,C14,C2,C6",C_0402_1005Metric,C52923
XC6206PxxxMR,U1,SOT-23-3,C5446
Fuse_Small,F1,Fuse_1206_3216Metric,C70076
SRV05-4,U2,SOT-23-6-routable,C7420376
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D4,D5,D6,D7,D8,D9",D_SOD-123,C8598
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
