Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,89.088995,-117.222683,90.0,bottom
C2,1u,C_0402_1005Metric,94.50745,-117.274045,90.0,bottom
C3,22p,C_0402_1005Metric,159.599874,-139.61515,135.0,bottom
C4,22p,C_0402_1005Metric,156.116942,-139.890118,45.0,bottom
C5,10u,C_0603_1608Metric,148.702595,-121.376773,90.0,bottom
C6,1u,C_0402_1005Metric,151.32,-123.7,0.0,bottom
C7,100n,C_0402_1005Metric,150.75,-128.498855,0.0,bottom
C8,100n,C_0402_1005Metric,163.0,-128.5,180.0,bottom
C9,100n,C_0402_1005Metric,163.0,-124.5,180.0,bottom
C10,100n,C_0402_1005Metric,155.620954,-135.5,315.0,bottom
C11,100n,C_0402_1005Metric,152.0,-121.376773,90.0,bottom
C12,100n,C_0402_1005Metric,155.904662,-119.546599,90.0,bottom
C13,1u,C_0402_1005Metric,160.020001,-115.499999,0.0,bottom
C14,1u,C_0402_1005Metric,152.999998,-121.376773,90.0,bottom
C15,100n,C_0402_1005Metric,157.204712,-119.525814,270.0,bottom
C16,100n,C_0402_1005Metric,154.88878,-134.789598,315.0,bottom
D1,D_Small,D_SOD-123,99.000003,-54.65,90.0,bottom
D2,D_Small,D_SOD-123,79.950003,-57.126499,90.0,bottom
D3,D_Small,D_SOD-123,118.050003,-57.126499,90.0,bottom
D4,D_Small,D_SOD-123,137.100003,-59.4125,90.0,bottom
D5,D_Small,D_SOD-123,156.150003,-59.4125,90.0,bottom
D6,D_Small,D_SOD-123,175.200003,-59.4125,90.0,bottom
D7,D_Small,D_SOD-123,54.0,-63.5,90.0,bottom
D8,D_Small,D_SOD-123,60.900003,-62.5,90.0,bottom
D9,D_Small,D_SOD-123,99.000003,-73.7,90.0,bottom
D10,D_Small,D_SOD-123,79.950003,-76.176499,90.0,bottom
D11,D_Small,D_SOD-123,118.050003,-76.176499,90.0,bottom
D12,D_Small,D_SOD-123,137.100003,-78.4625,90.0,bottom
D13,D_Small,D_SOD-123,156.150003,-78.4625,90.0,bottom
D14,D_Small,D_SOD-123,175.200003,-78.4625,90.0,bottom
D15,D_Small,D_SOD-123,54.0,-82.5,90.0,bottom
D16,D_Small,D_SOD-123,60.900003,-80.939,90.0,bottom
D17,D_Small,D_SOD-123,99.000003,-92.75,90.0,bottom
D18,D_Small,D_SOD-123,79.950003,-95.2265,90.0,bottom
D19,D_Small,D_SOD-123,118.050003,-95.2265,90.0,bottom
D20,D_Small,D_SOD-123,137.100003,-97.5125,90.0,bottom
D21,D_Small,D_SOD-123,156.150003,-97.5125,90.0,bottom
D22,D_Small,D_SOD-123,54.0,-101.5,90.0,bottom
D23,D_Small,D_SOD-123,60.900003,-99.989,90.0,bottom
D24,D_Small,D_SOD-123,99.000003,-111.8,90.0,bottom
D25,D_Small,D_SOD-123,79.950003,-114.2765,90.0,bottom
D26,D_Small,D_SOD-123,118.050003,-114.2765,90.0,bottom
D27,D_Small,D_SOD-123,137.0,-116.5625,90.0,bottom
D28,D_Small,D_SOD-123,53.5,-120.85,90.0,bottom
D29,D_Small,D_SOD-123,60.900003,-119.039,90.0,bottom
D30,D_Small,D_SOD-123,175.0,-104.5,285.0,bottom
D31,D_Small,D_SOD-123,181.999698,-119.493112,110.0,bottom
D32,D_Small,D_SOD-123,110.838619,-132.992997,90.0,bottom
D33,D_Small,D_SOD-123,57.0,-136.5,90.0,bottom
D34,D_Small,D_SOD-123,76.0,-136.5,90.0,bottom
D35,D_Small,D_SOD-123,95.5,-136.5,90.0,bottom
D36,D_Small,D_SOD-123,144.253049,-132.5,90.0,bottom
D37,D_Small,D_SOD-123,177.5,-97.5,180.0,bottom
D38,D_Small,D_SOD-123,168.25,-134.75,90.0,bottom
F1,Fuse_Small,Fuse_1206_3216Metric,64.5,-35.5,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,69.68,-28.509999,180.0,bottom
R1,5.1k,R_0402_1005Metric,67.925685,-33.114561,0.0,bottom
R2,5.1k,R_0402_1005Metric,71.939659,-33.144076,180.0,bottom
R3,5.1k,R_0402_1005Metric,123.0,-122.75,90.0,bottom
R4,5.1k,R_0402_1005Metric,157.0,-110.5,270.0,bottom
R5,5.1k,R_0402_1005Metric,158.210551,-110.51877,90.0,bottom
R6,1k,R_0402_1005Metric,159.5,-110.5,270.0,bottom
R7,1k,R_0402_1005Metric,156.412399,-136.42362,135.0,bottom
R8,27,R_0402_1005Metric,155.814639,-115.759108,270.0,bottom
R9,27,R_0402_1005Metric,154.75,-115.759108,270.0,bottom
U1,XC6206PxxxMR,SOT-23-3,91.8625,-118.05,0.0,bottom
U2,SRV05-4,SOT-23-6-routable,70.0,-36.0,0.0,bottom
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,156.5,-127.5,0.0,bottom
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,166.0,-117.5,0.0,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,158.0,-138.0,135.0,bottom
